Q21_rep1	Q21_rep2	Q21_rep3	Q107_rep1	Q107_rep2	Q107_rep3	Q107CI_rep1	Q107CI_rep2	Q107CI_rep3	Q107CI_rep4
0,215	0,13221	0,52073	0,80797	0,87117	0,86416	0,77415	0,75147	0,64804	0,43246
0,33992	0,26516	0,68855	0,74062	0,81437	0,89319	0,8273	0,48106	0,73601	0,91404
0,47082	0,35771	0,94213	0,66753	0,62721	0,94849	0,97735	0,3838	0,84211	0,7415
0,65019	0,46885	0,60277	0,97498	0,060591	0,57523	0,52965	0,62642	0,86295	0,40209
0,55874	0,36774	0,5341	0,66021	0,73647	0,64043	0,77588	0,64028	0,72755	0,44887
0,83011	0,33908	0,80777	0,95316	0,48187	0,27942	0,035892	0,32435	0,56335	0,50735
0,91539	0,89886	0,78697	0,91536	0,40596	0,59821	0,35662	0,22082	0,75227	0,65109
0,94044	0,83033	0,77164	0,68394	0,82298	0,27768	0,64087	0,77399	0,42232	0,65704
0,70557	0,88141	0,77099	0,44691	0,69121	0,2219	0,6326	0,43629	0,068906	0,60199
0,7048	0,92005	0,92174	0,5922	0,68584	0,25793	0,73541	0,71535	0,72909	0,45117
0,64646	0,5207	0,71608	0,58017	0,50385	0,44546	0,69969	0,48284	0,58197	0,49358
0,62329	0,53385	0,76948	0,22109	0,68864	0,42033	0,12585	0,53725	0,61672	0,31606
0,38681	0,59784	0,66481	0,61706	0,011969	0,46606	0,7352	0,47058	0,88586	0,52442
0,41099	0,1959	0,75269	0,60773	0,73587	0,5828	0,72685	0,1812	0,76699	0,67997
0,45009	0,25209	0,62409	0,89283	0,72981	0,44655	0,4688	0,49288	0,8386	0,50087
0,41561	0,67178	0,76291	0,81732	0,87626	0,43154	0,67351	0,52686	0,75866	0,12753
0,40998	0,75803	0,93965	0,69829	0,65379	0,38591	0,73255	0,83881	0,8511	0,14031
0,53326	0,56344	0,42392	0,76909	0,65472	0,3774	0,59774	0,63161	0,35019	0,39714
0,94145	0,78817	0,63091	0,73095	0,72861	0,83506	0,4072	0,5566	0,7483	0,72479
0,84779	0,75766	0,90529	0,67734	0,69007	0,75382	0,25169	0,44131	0,68514	0,6713
0,67367	0,6735	0,70265	0,64548	0,6161	0,75318	0,45871	0,8275	0,71319	0,62401
0,94075	0,60545	0,63612	0,80301	0,75926	0,70447	0,34418	0,74117	0,76061	0,79207
0,31488	0,61057	0,61895	0,86714	0,67687	0,67172	0,78579	0,93095	0,66758	0,57877
0,44824	0,75541	0,55863	0,57699	0,50308	0,70272	0,66945	0,75238	0,77603	0,60276
0,46932	0,6189	0,38381	0,65455	0,76063	0,85046	0,91402	0,87322	0,88342	0,35045
0,50489	0,71424	0,33432	0,61206	0,57927	0,82049	0,17468	0,79525	0,24787	0,28554
0,42539	0,97963	0,43834	0,79803	0,26954	0,65284	0,21957	0,84274	0,66551	0,2418
0,57517	0,37277	0,50345	0,68447	0,13232	0,65454	0,32398	0,64229	0,27439	0,27443
0,68039	0,28402	0,50678	0,85	0,48728	0,72639	0,61369	0,52404	0,2677	0,34081
0,62102	0,17354	0,8467	0,84934	0,19477	0,81917	0,79645	0,76606	0,81865	0,37308
0,74875	0,28791	0,96387	0,81947	0,43474	0,86088	0,58743	0,55469	0,47967	0,75026
0,59187	0,55891	0,62523	0,66842	0,38496	0,78834	0,36076	0,57657	0,73301	0,89724
0,63986	0,60503	0,76329	0,4392	0,56991	0,48897	0,39193	0,83533	0,45307	0,77936
0,66947	0,7598	0,80126	0,38534	0,59792	0,40561	0,37316	0,55724	0,85339	0,81777
0,68529	0,5948	0,76852	0,85732	0,70236	0,4302	0,14141	0,39404	0,59561	0,87168
0,58288	0,79316	0,69329	0,47276	0,54766	0,65027	0,43094	0,37546	0,84604	0,74876
0,45695	0,21229	0,95192	0,43896	0,54087	0,8488	0,7384	0,47513	0,59055	0,70765
0,65841	0,45549	0,76987	0,54254	0,35653	0,57354	0,64753	0,3805	0,90602	0,86902
0,548	0,41433	0,49377	0,87503	0,38584	0,51496	0,42523	0,66113	0,74305	0,75336
0,69835	0,24857	0,61831	0,90053	0,30644	0,42118	0,53345	0,54669	0,64378	0,74405
0,43269	0,63306	0,69595	0,6454	0,53064	0,95102	0,26776	0,77009	0,75736	0,64245
0,36114	0,72009	0,72965	0,35705	0,71494	0,71212	0,50775	0,76064	0,67146	0,64521
0,35769	0,54248	0,46074	0,81783	0,9531	0,7138	0,56153	0,77151	0,80362	0,43764
